,Site,Year,Location,Treatment,Depth,CanopyH,IncidentLight,PhragFlowers,LiveStem,TotalStem,richness,H,D1,J,Depth.norm
1,LPC21,2016,Long Point,Control,21,327,1.66,14,42,174,3,0.228547556,0.111771574,0.20803295,0.7215909
2,LPC22,2016,Long Point,Control,36,433,1.55,4,28,65,3,0.470686246,0.291490825,0.428437084,0.7215909
3,LPC23,2016,Long Point,Control,24,336,1.5,1,36,190,2,0.005233023,0.001248439,0.007549656,0.7215909
4,LPC24,2016,Long Point,Control,13,334,1.24,11,52,193,1,0,0,NA,0.7215909
5,LPC25,2016,Long Point,Control,10,327,1.69,12,16,25,5,0.929905124,0.50055473,0.577782539,0.7215909
6,LPC26,2016,Long Point,Control,14,353,1.69,3,19,63,4,0.871798697,0.500554711,0.628869828,0.7215909
7,LPC27,2016,Long Point,Control,17,383,4.01,2,15,29,2,0.661563238,0.46875,0.954434003,0.7215909
8,LPC28,2016,Long Point,Control,23,450,1.7,1,26,74,1,0,0,NA,0.7215909
9,LPC29,2016,Long Point,Control,29,526,0.36,7,35,123,1,0,0,NA,0.7215909
10,LPC30,2016,Long Point,Control,26,364,0.58,16,39,55,2,0.005233023,0.001248439,0.007549656,0.7215909
11,LPC31,2016,Long Point,Control,20,426,0.94,7,26,99,2,0.225249406,0.111702452,0.324966201,0.7215909
12,LPC32,2016,Long Point,Control,19,460,0.63,3,39,137,1,0,0,NA,0.7215909
13,LPC33,2016,Long Point,Control,18,367,1.06,6,17,31,3,0.786701231,0.475308644,0.716086321,0.7215909
14,LPC34,2016,Long Point,Control,38,319,2.6,19,58,70,4,0.017630718,0.004270455,0.012717875,0.7215909
15,LPC35,2016,Long Point,Control,28,422,0.64,5,39,136,2,0.004717278,0.001109877,0.006805594,0.7215909
16,LPC36,2016,Long Point,Control,24,369,1.1,7,50,108,1,0,0,NA,0.7215909
17,LPC37,2016,Long Point,Control,18,432,1.2,23,32,67,1,0,0,NA,0.7215909
18,LPC38,2016,Long Point,Control,34,462,0.9,17,31,137,1,0,0,NA,0.7215909
19,LPC39,2016,Long Point,Control,13,356,6.94,22,42,155,4,0.234896271,0.113786964,0.169441843,0.7215909
20,LPC40,2016,Long Point,Control,28,378,7.06,14,50,101,2,0.005233029,0.00124844,0.007549664,0.7215909
21,LPT05,2016,Long Point,Treatment,31,374,2.69,1,11,77,6,1.15230781,0.633727979,0.643115234,0.7215909
22,LPT06,2016,Long Point,Treatment,30,470,0.3,1,59,186,2,0.004717278,0.001109877,0.006805594,0.7215909
23,LPT07,2016,Long Point,Treatment,22,413,1.48,12,24,76,3,0.702918931,0.3984375,0.639824384,0.7215909
24,LPT08,2016,Long Point,Treatment,21,335,2.29,9,35,98,3,0.470686246,0.291490825,0.428437084,0.7215909
25,LPT09,2016,Long Point,Treatment,24,416,1.46,5,48,91,2,0.004717278,0.001109877,0.006805594,0.7215909
26,LPT10,2016,Long Point,Treatment,22,386,0.8,7,42,166,3,0.009429639,0.00221791,0.008583227,0.7215909
27,LPT11,2016,Long Point,Treatment,28,358,1.51,0,33,53,3,0.470686246,0.291490825,0.428437084,0.7215909
28,LPT12,2016,Long Point,Treatment,18,338,3.76,6,37,131,4,0.233371731,0.112814676,0.16834212,0.7215909
29,LPT13,2016,Long Point,Treatment,13,356,2.82,5,14,71,7,0.898595815,0.465554666,0.4617869,0.7215909
30,LPT14,2016,Long Point,Treatment,22,358,6.12,9,27,104,6,0.439276965,0.206350493,0.245165142,0.7215909
31,LPT15,2016,Long Point,Treatment,17,407,7.48,6,34,109,4,0.233371731,0.112814676,0.16834212,0.7215909
32,LPT16,2016,Long Point,Treatment,19,415,4.94,2,42,106,3,0.228547556,0.111771574,0.20803295,0.7215909
33,LPT17,2016,Long Point,Treatment,42,320,5,0,33,70,7,0.483153182,0.230413669,0.248291619,0.7215909
34,LPT18,2016,Long Point,Treatment,21,382,1.19,5,38,125,3,0.010459914,0.002494543,0.009521024,0.7215909
35,LPT19,2016,Long Point,Treatment,18,356,0.91,3,76,131,3,0.010459914,0.002494543,0.009521024,0.7215909
36,LPT20,2016,Long Point,Treatment,24,368,1.96,5,46,88,3,0.010459914,0.002494543,0.009521024,0.7215909
37,LPT41,2016,Long Point,Treatment,13,381,0.89,2,47,133,3,0.00942964,0.002217911,0.008583228,0.7215909
38,LPT42,2016,Long Point,Treatment,24,403,4.59,10,51,170,2,0.004717278,0.001109877,0.006805594,0.7215909
39,LPT43,2016,Long Point,Treatment,25,360,8.87,10,11,48,3,0.830523691,0.5078125,0.755975243,0.7215909
40,LPT44,2016,Long Point,Treatment,33,382,2.66,7,34,93,3,0.353355676,0.198421438,0.321638197,0.7215909
41,RPC02,2016,Rondeau PP,Control,42,290,1.2,13,68,171,4,0.01413706,0.003324095,0.010197733,0.7215909
42,RPC03,2016,Rondeau PP,Control,32,392,2.84,3,15,56,3,0.803742107,0.456747405,0.731597594,0.7215909
43,RPC04,2016,Rondeau PP,Control,13,322,2.07,0,13,50,4,0.702741741,0.501246882,0.506921013,0.7215909
44,RPC05,2016,Rondeau PP,Control,20,395,1.58,0,25,84,3,0.228547556,0.111771574,0.20803295,0.7215909
45,RPC06,2016,Rondeau PP,Control,32,272,15.25,21,58,110,4,0.357874573,0.199310547,0.258151936,0.7215909
46,RPC07,2016,Rondeau PP,Control,25,237,5.86,0,44,84,7,0.673576191,0.313841532,0.346149688,0.7215909
47,RPC08,2016,Rondeau PP,Control,20,279,4.37,0,26,79,9,0.873073169,0.529278091,0.397352723,0.7215909
48,RPC09,2016,Rondeau PP,Control,32,308,4.31,11,39,149,6,0.667717306,0.366310644,0.372660124,0.7215909
49,RPC10,2016,Rondeau PP,Control,24,279,5.05,5,37,110,10,0.85898814,0.386129647,0.373053809,0.7215909
50,RPC11,2016,Rondeau PP,Control,23,288,16.98,0,40,126,9,0.782185125,0.379990959,0.355987791,0.7215909
51,RPC12,2016,Rondeau PP,Control,21,283,12,18,46,158,7,0.443743837,0.207229828,0.228039222,0.7215909
52,RPC13,2016,Rondeau PP,Control,34,352,2.29,18,38,151,4,0.233371731,0.112814676,0.16834212,0.7215909
53,RPC14,2016,Rondeau PP,Control,17,358,1.81,2,30,125,9,0.630470678,0.286308287,0.286939571,0.7215909
54,RPC15,2016,Rondeau PP,Control,13,390,2.99,1,28,88,9,0.380398551,0.203733937,0.173126841,0.7215909
55,RPC17,2016,Rondeau PP,Control,32,339,14,6,27,62,3,0.995026945,0.59259256,0.905712557,0.7215909
56,RPC18,2016,Rondeau PP,Control,20,381,9.87,8,44,111,3,0.210581172,0.100669638,0.191679243,0.7215909
57,RPC19,2016,Rondeau PP,Control,44,383,3.9,2,36,99,3,0.536664547,0.2770083,0.488493122,0.7215909
58,RPC20,2016,Rondeau PP,Control,23,364,5.45,15,34,125,3,0.425848436,0.203703695,0.387623951,0.7215909
59,RPC41,2016,Rondeau PP,Control,48,365,7.4,3,15,20,5,1.145847674,0.635364469,0.71195519,0.7215909
60,RPC16,2016,Rondeau PP,Treatment,41,317,1.5,10,12,26,10,1.457538416,0.689055101,0.633000891,0.7215909
61,RPT21,2016,Rondeau PP,Treatment,33,410,0.88,0,33,95,3,0.536664547,0.2770083,0.488493122,0.7215909
62,RPT22,2016,Rondeau PP,Treatment,18,362,1.02,3,35,106,3,0.228547556,0.111771574,0.20803295,0.7215909
63,RPT23,2016,Rondeau PP,Treatment,31,430,0.66,8,46,152,3,0.00942964,0.002217911,0.008583228,0.7215909
64,RPT24,2016,Rondeau PP,Treatment,26,367,2.68,0,28,106,3,0.425848449,0.203703704,0.387623963,0.7215909
65,RPT25,2016,Rondeau PP,Treatment,21,318,3.46,7,47,177,1,0,0,NA,0.7215909
66,RPT26,2016,Rondeau PP,Treatment,47,326,12.4,3,11,23,4,0.880537851,0.554157544,0.635173795,0.7215909
67,RPT27,2016,Rondeau PP,Treatment,44,299,12.1,10,32,81,5,0.289378363,0.145956351,0.179800886,0.7215909
68,RPT28,2016,Rondeau PP,Treatment,16,348,4.45,11,53,153,6,0.243004088,0.114895358,0.135623164,0.7215909
69,RPT29,2016,Rondeau PP,Treatment,32,308,3.23,13,25,48,4,0.808230555,0.457385574,0.583015107,0.7215909
70,RPT30,2016,Rondeau PP,Treatment,22,358,2.43,17,38,158,2,0.348832086,0.197530857,0.50325832,0.7215909
71,RPT31,2016,Rondeau PP,Treatment,20,364,2.26,16,28,84,2,0.223718068,0.110726639,0.322756948,0.7215909
72,RPT32,2016,Rondeau PP,Treatment,17,285,4.29,12,24,40,8,0.726832869,0.402177712,0.349532725,0.7215909
73,RPT33,2016,Rondeau PP,Treatment,31,307,13.63,2,28,79,5,0.870775498,0.499113438,0.541043237,0.7215909
74,RPT34,2016,Rondeau PP,Treatment,16,318,7.91,10,23,45,10,1.468837672,0.655469454,0.637908096,0.7215909
75,RPT35,2016,Rondeau PP,Treatment,46,328,6.7,16,52,163,3,0.228547556,0.111771574,0.20803295,0.7215909
76,RPT36,2016,Rondeau PP,Treatment,45,288,10,11,81,229,2,0.004717278,0.001109877,0.006805594,0.7215909
77,RPT37,2016,Rondeau PP,Treatment,18,388,8.29,5,32,117,7,0.247812321,0.115932962,0.127350341,0.7215909
78,RPT38,2016,Rondeau PP,Treatment,33,326,12.68,13,53,156,3,0.009429639,0.00221791,0.008583227,0.7215909
79,RPT39,2016,Rondeau PP,Treatment,21,322,11.54,8,40,106,8,0.036502545,0.008690198,0.017554014,0.7215909
80,RPT40,2016,Rondeau PP,Treatment,24,348,7.66,5,54,162,2,0.005233023,0.001248439,0.007549656,0.7215909
81,LPC21,2017,Long Point,Control,52,318,6.53,16,34,145,4,0.694763193,0.386734891,0.501165707,0.8238636
82,LPC22,2017,Long Point,Control,48,438,2.28,0,27,85,4,0.610796571,0.312519696,0.440596592,0.8238636
83,LPC23,2017,Long Point,Control,59,368,1.46,0,29,229,3,0.074857505,0.024377098,0.068138238,0.8238636
84,LPC24,2017,Long Point,Control,36,343,4.23,3,63,226,2,0.034515227,0.011097202,0.049794947,0.8238636
85,LPC25,2017,Long Point,Control,38,358,1.93,14,26,58,4,0.973598755,0.512316178,0.702303048,0.8238636
86,LPC26,2017,Long Point,Control,39,335,2.7,0,18,71,5,0.815477605,0.455709547,0.506684724,0.8238636
87,LPC27,2017,Long Point,Control,42,400,3.1,0,22,48,3,0.499433519,0.298968197,0.45460398,0.8238636
88,LPC28,2017,Long Point,Control,44,451,4.75,0,42,87,1,0,0,NA,0.8238636
89,LPC29,2017,Long Point,Control,53,450,0.91,0,36,138,2,0.410088068,0.244875436,0.591632022,0.8238636
90,LPC30,2017,Long Point,Control,49,398,2.73,6,42,67,1,0,0,NA,0.8238636
91,LPC31,2017,Long Point,Control,46,452,1.19,0,44,117,2,0.223718076,0.110726644,0.322756959,0.8238636
92,LPC32,2017,Long Point,Control,40,470,2.35,0,45,109,2,0.040155687,0.013286675,0.05793241,0.8238636
93,LPC33,2017,Long Point,Control,32,347,2.37,4,25,49,3,0.499314935,0.298940855,0.45449604,0.8238636
94,LPC34,2017,Long Point,Control,61,379,21.4,12,54,86,5,0.44818205,0.208698692,0.278471165,0.8238636
95,LPC35,2017,Long Point,Control,54,371,0.91,0,49,191,2,0.034515227,0.011097202,0.049794947,0.8238636
96,LPC36,2017,Long Point,Control,45,380,0.62,3,66,155,1,0,0,NA,0.8238636
97,LPC37,2017,Long Point,Control,46,419,1.76,26,36,85,1,0,0,NA,0.8238636
98,LPC38,2017,Long Point,Control,53,445,1.16,1,35,118,1,0,0,NA,0.8238636
99,LPC39,2017,Long Point,Control,28,391,2.14,3,37,156,3,0.381395262,0.206425782,0.347160928,0.8238636
100,LPC40,2017,Long Point,Control,33,425,2.96,2,65,160,2,0.034515227,0.011097202,0.049794947,0.8238636
101,LPT05,2017,Long Point,Treatment,65,71,93.4,0,0,8,3,0.094812373,0.032302151,0.086301942,0.8238636
102,LPT06,2017,Long Point,Treatment,43,0,67.77,0,0,2,1,0,0,NA,0.8238636
103,LPT07,2017,Long Point,Treatment,43.5,0,99.62,0,0,0,3,0.095393029,0.032538866,0.086830477,0.8238636
104,LPT08,2017,Long Point,Treatment,45,162,85.06,0,0,1,2,0.636492555,0.444423657,0.918264653,0.8238636
105,LPT09,2017,Long Point,Treatment,49,0,86.67,0,0,0,3,0.366391048,0.168696256,0.333503504,0.8238636
106,LPT10,2017,Long Point,Treatment,60,0,96.61,0,0,0,5,0.320353487,0.120080457,0.199046813,0.8238636
